T,Vf
s,V vs. Ref.
1.00833,-2.0611E-01
2.01667,-2.0610E-01
3.025,-2.0609E-01
4.03333,-2.0606E-01
5.04167,-2.0601E-01
6.05,-2.0594E-01
7.05833,-2.0585E-01
8.06667,-2.0576E-01
9.075,-2.0567E-01
10.0833,-2.0558E-01
11.0917,-2.0549E-01
12.1,-2.0540E-01
13.1083,-2.0531E-01
14.1167,-2.0522E-01
15.125,-2.0513E-01
16.1333,-2.0504E-01
17.1417,-2.0495E-01
18.15,-2.0486E-01
19.1583,-2.0477E-01
20.1667,-2.0467E-01
21.175,-2.0458E-01
22.1833,-2.0449E-01
23.1917,-2.0440E-01
24.2,-2.0431E-01
25.2083,-2.0422E-01
26.2167,-2.0413E-01
27.225,-2.0404E-01
28.2333,-2.0395E-01
29.2417,-2.0386E-01
30.25,-2.0378E-01
31.2583,-2.0369E-01
32.2667,-2.0360E-01
33.275,-2.0352E-01
34.2833,-2.0343E-01
35.2917,-2.0335E-01
36.3,-2.0326E-01
37.3083,-2.0318E-01
38.3167,-2.0310E-01
39.325,-2.0301E-01
40.3333,-2.0293E-01
41.3417,-2.0285E-01
42.35,-2.0276E-01
43.3583,-2.0268E-01
44.3667,-2.0260E-01
45.375,-2.0251E-01
46.3833,-2.0243E-01
47.3917,-2.0235E-01
48.4,-2.0227E-01
49.4083,-2.0218E-01
50.4167,-2.0210E-01
51.425,-2.0202E-01
52.4333,-2.0194E-01
53.4417,-2.0186E-01
54.45,-2.0178E-01
55.4583,-2.0170E-01
56.4667,-2.0162E-01
57.475,-2.0154E-01
58.4833,-2.0146E-01
59.4917,-2.0138E-01
60.5,-2.0129E-01
61.5083,-2.0121E-01
62.5167,-2.0113E-01
63.525,-2.0105E-01
64.5333,-2.0097E-01
65.5417,-2.0089E-01
66.55,-2.0081E-01
67.5583,-2.0073E-01
68.5667,-2.0065E-01
69.575,-2.0057E-01
70.5833,-2.0049E-01
71.5917,-2.0041E-01
72.6,-2.0033E-01
73.6083,-2.0025E-01
74.6167,-2.0017E-01
75.625,-2.0009E-01
76.6333,-2.0001E-01
77.6417,-1.9993E-01
78.65,-1.9985E-01
79.6583,-1.9977E-01
80.6667,-1.9969E-01
81.675,-1.9962E-01
82.6833,-1.9954E-01
83.6917,-1.9946E-01
84.7,-1.9938E-01
85.7083,-1.9930E-01
86.7167,-1.9923E-01
87.725,-1.9915E-01
88.7333,-1.9907E-01
89.7417,-1.9900E-01
90.75,-1.9892E-01
91.7583,-1.9885E-01
92.7667,-1.9877E-01
93.775,-1.9869E-01
94.7833,-1.9862E-01
95.792,-1.9855E-01
96.8,-1.9847E-01
97.808,-1.9840E-01
98.817,-1.9833E-01
99.825,-1.9825E-01
100.833,-1.9818E-01
101.842,-1.9811E-01
102.85,-1.9804E-01
103.858,-1.9797E-01
104.867,-1.9790E-01
105.875,-1.9783E-01
106.883,-1.9776E-01
107.892,-1.9770E-01
108.9,-1.9763E-01
109.908,-1.9756E-01
110.917,-1.9750E-01
111.925,-1.9743E-01
112.933,-1.9737E-01
113.942,-1.9731E-01
114.95,-1.9724E-01
115.958,-1.9718E-01
116.967,-1.9712E-01
117.975,-1.9705E-01
118.983,-1.9699E-01
119.992,-1.9693E-01
121,-1.9687E-01
122.008,-1.9681E-01
123.017,-1.9675E-01
124.025,-1.9669E-01
125.033,-1.9664E-01
126.042,-1.9658E-01
127.05,-1.9652E-01
128.058,-1.9646E-01
129.067,-1.9641E-01
130.075,-1.9635E-01
131.083,-1.9630E-01
132.092,-1.9624E-01
133.1,-1.9618E-01
134.108,-1.9613E-01
135.117,-1.9607E-01
136.125,-1.9602E-01
137.133,-1.9596E-01
138.142,-1.9591E-01
139.15,-1.9586E-01
140.158,-1.9580E-01
141.167,-1.9575E-01
142.175,-1.9570E-01
143.183,-1.9565E-01
144.192,-1.9559E-01
145.2,-1.9554E-01
146.208,-1.9549E-01
147.217,-1.9544E-01
148.225,-1.9539E-01
149.233,-1.9533E-01
150.242,-1.9528E-01
151.25,-1.9523E-01
152.258,-1.9518E-01
153.267,-1.9513E-01
154.275,-1.9508E-01
155.283,-1.9503E-01
156.292,-1.9498E-01
157.3,-1.9493E-01
158.308,-1.9488E-01
159.317,-1.9483E-01
160.325,-1.9478E-01
161.333,-1.9473E-01
162.342,-1.9468E-01
163.35,-1.9463E-01
164.358,-1.9458E-01
165.367,-1.9453E-01
166.375,-1.9448E-01
167.383,-1.9443E-01
168.392,-1.9438E-01
169.4,-1.9433E-01
170.408,-1.9428E-01
171.417,-1.9423E-01
172.425,-1.9418E-01
173.433,-1.9413E-01
174.442,-1.9409E-01
175.45,-1.9404E-01
176.458,-1.9399E-01
177.467,-1.9394E-01
178.475,-1.9389E-01
179.483,-1.9384E-01
180.492,-1.9380E-01
181.5,-1.9375E-01
182.508,-1.9370E-01
183.517,-1.9365E-01
184.525,-1.9360E-01
185.533,-1.9355E-01
186.542,-1.9351E-01
187.55,-1.9346E-01
188.558,-1.9341E-01
189.567,-1.9337E-01
190.575,-1.9332E-01
191.583,-1.9327E-01
192.592,-1.9322E-01
193.6,-1.9318E-01
194.608,-1.9313E-01
195.617,-1.9309E-01
196.625,-1.9304E-01
197.633,-1.9299E-01
198.642,-1.9295E-01
199.65,-1.9290E-01
200.658,-1.9286E-01
201.667,-1.9281E-01
202.675,-1.9276E-01
203.683,-1.9272E-01
204.692,-1.9267E-01
205.7,-1.9263E-01
206.708,-1.9258E-01
207.717,-1.9254E-01
208.725,-1.9249E-01
209.733,-1.9245E-01
210.742,-1.9240E-01
211.75,-1.9236E-01
212.758,-1.9231E-01
213.767,-1.9227E-01
214.775,-1.9222E-01
215.783,-1.9218E-01
216.792,-1.9213E-01
217.8,-1.9209E-01
218.808,-1.9204E-01
219.817,-1.9200E-01
220.825,-1.9195E-01
221.833,-1.9191E-01
222.842,-1.9186E-01
223.85,-1.9182E-01
224.858,-1.9177E-01
225.867,-1.9173E-01
226.875,-1.9168E-01
227.883,-1.9164E-01
228.892,-1.9160E-01
229.9,-1.9155E-01
230.908,-1.9151E-01
231.917,-1.9146E-01
232.925,-1.9142E-01
233.933,-1.9137E-01
234.942,-1.9133E-01
235.95,-1.9129E-01
236.958,-1.9124E-01
237.967,-1.9120E-01
238.975,-1.9116E-01
239.983,-1.9111E-01
240.992,-1.9107E-01
242,-1.9103E-01
243.008,-1.9098E-01
244.017,-1.9094E-01
245.025,-1.9089E-01
246.033,-1.9085E-01
247.042,-1.9081E-01
248.05,-1.9076E-01
249.058,-1.9072E-01
250.067,-1.9068E-01
251.075,-1.9064E-01
252.083,-1.9059E-01
253.092,-1.9055E-01
254.1,-1.9051E-01
255.108,-1.9047E-01
256.117,-1.9042E-01
257.125,-1.9038E-01
258.133,-1.9034E-01
259.142,-1.9030E-01
260.15,-1.9025E-01
261.158,-1.9021E-01
262.167,-1.9017E-01
263.175,-1.9013E-01
264.183,-1.9009E-01
265.192,-1.9004E-01
266.2,-1.9000E-01
267.208,-1.8996E-01
268.217,-1.8992E-01
269.225,-1.8987E-01
270.233,-1.8983E-01
271.242,-1.8979E-01
272.25,-1.8975E-01
273.258,-1.8971E-01
274.267,-1.8966E-01
275.275,-1.8962E-01
276.283,-1.8958E-01
277.292,-1.8954E-01
278.3,-1.8950E-01
279.308,-1.8945E-01
280.317,-1.8941E-01
281.325,-1.8937E-01
282.333,-1.8933E-01
283.342,-1.8929E-01
284.35,-1.8925E-01
285.358,-1.8920E-01
286.367,-1.8916E-01
287.375,-1.8912E-01
288.383,-1.8908E-01
289.392,-1.8904E-01
290.4,-1.8900E-01
291.408,-1.8896E-01
292.417,-1.8892E-01
293.425,-1.8888E-01
294.433,-1.8884E-01
295.442,-1.8880E-01
296.45,-1.8876E-01
297.458,-1.8872E-01
298.467,-1.8868E-01
299.475,-1.8864E-01
300.483,-1.8860E-01
301.492,-1.8856E-01
302.5,-1.8852E-01
303.508,-1.8848E-01
304.517,-1.8844E-01
