	Pt	T	Vf	Vm	Ach	Over	
	#	s	V vs. Ref.	V	V	bits	
	0	1.00833	-2.06E-01	-2.06E-01	0.00E+00	...........	
	1	2.01667	-2.06E-01	-2.06E-01	0.00E+00	...........	
	2	3.025	-2.06E-01	-2.06E-01	0.00E+00	...........	
	3	4.03333	-2.06E-01	-2.06E-01	0.00E+00	...........	
	4	5.04167	-2.06E-01	-2.06E-01	0.00E+00	...........	
	5	6.05	-2.06E-01	-2.06E-01	0.00E+00	...........	
	6	7.05833	-2.06E-01	-2.06E-01	0.00E+00	...........	
	7	8.06667	-2.06E-01	-2.05E-01	0.00E+00	...........	
	8	9.075	-2.06E-01	-2.05E-01	0.00E+00	...........	
	9	10.0833	-2.06E-01	-2.05E-01	0.00E+00	...........	
	10	11.0917	-2.05E-01	-2.05E-01	0.00E+00	...........	
	11	12.1	-2.05E-01	-2.05E-01	0.00E+00	...........	
	12	13.1083	-2.05E-01	-2.05E-01	0.00E+00	...........	
	13	14.1167	-2.05E-01	-2.05E-01	0.00E+00	...........	
	14	15.125	-2.05E-01	-2.05E-01	0.00E+00	...........	
	15	16.1333	-2.05E-01	-2.05E-01	0.00E+00	...........	
	16	17.1417	-2.05E-01	-2.05E-01	0.00E+00	...........	
	17	18.15	-2.05E-01	-2.05E-01	0.00E+00	...........	
	18	19.1583	-2.05E-01	-2.04E-01	0.00E+00	...........	
	19	20.1667	-2.05E-01	-2.04E-01	0.00E+00	...........	
	20	21.175	-2.05E-01	-2.04E-01	0.00E+00	...........	
	21	22.1833	-2.04E-01	-2.04E-01	0.00E+00	...........	
	22	23.1917	-2.04E-01	-2.04E-01	0.00E+00	...........	
	23	24.2	-2.04E-01	-2.04E-01	0.00E+00	...........	
	24	25.2083	-2.04E-01	-2.04E-01	0.00E+00	...........	
	25	26.2167	-2.04E-01	-2.04E-01	0.00E+00	...........	
	26	27.225	-2.04E-01	-2.04E-01	0.00E+00	...........	
	27	28.2333	-2.04E-01	-2.04E-01	0.00E+00	...........	
	28	29.2417	-2.04E-01	-2.04E-01	0.00E+00	...........	
	29	30.25	-2.04E-01	-2.04E-01	0.00E+00	...........	
	30	31.2583	-2.04E-01	-2.03E-01	0.00E+00	...........	
	31	32.2667	-2.04E-01	-2.03E-01	0.00E+00	...........	
	32	33.275	-2.04E-01	-2.03E-01	0.00E+00	...........	
	33	34.2833	-2.03E-01	-2.03E-01	0.00E+00	...........	
	34	35.2917	-2.03E-01	-2.03E-01	0.00E+00	...........	
	35	36.3	-2.03E-01	-2.03E-01	0.00E+00	...........	
	36	37.3083	-2.03E-01	-2.03E-01	0.00E+00	...........	
	37	38.3167	-2.03E-01	-2.03E-01	0.00E+00	...........	
	38	39.325	-2.03E-01	-2.03E-01	0.00E+00	...........	
	39	40.3333	-2.03E-01	-2.03E-01	0.00E+00	...........	
	40	41.3417	-2.03E-01	-2.03E-01	0.00E+00	...........	
	41	42.35	-2.03E-01	-2.03E-01	0.00E+00	...........	
	42	43.3583	-2.03E-01	-2.02E-01	0.00E+00	...........	
